No,Date,Open,Close,High,Low,Amount,Volume
723,1663847100,19141.3,19234.5,19269,19134,224.98647215,4323249.469129689
724,1663848000,19231.1,19273.1,19273.3,19172,278.02975029,5343917.668230818
725,1663848900,19273.1,19193,19276.3,19193,148.7032219,2859497.735396708
726,1663849800,19193,19238.2,19264.3,19143,221.24462894,4246947.719526558
727,1663850700,19238.2,19207.8,19315.8,19207.8,267.22740238,5146869.488861805
728,1663851600,19206,19159.3,19220.6,19148.1,127.63108004,2448007.78628917
729,1663852500,19159.4,19115.4,19185.3,19100.1,192.64125622,3686938.885172807
730,1663853400,19111.4,18991.5,19174.6,18972.1,387.66048077,7395220.46427232
731,1663854300,18991.5,18903.8,19045.1,18892.3,595.3844956,11293363.958735588
732,1663855200,18903.8,19058.2,19058.4,18853.1,293.15577385,5551668.539444734
733,1663856100,19058.7,19022.1,19069.9,18965.7,196.69780004,3739189.412554273
734,1663857000,19022.1,18974.8,19057.4,18958.1,257.71466221,4899722.94329289
735,1663857900,18970.7,18878.9,19010,18824.5,217.07128174,4106137.255659629
736,1663858800,18877.1,18878.3,18931.8,18791.9,345.24463662,6515336.11284893
737,1663859700,18879.9,18942.9,18952.6,18840,132.65564893,2505575.030379942
738,1663860600,18943,18928.7,18975.8,18901.1,132.90273875,2518389.490200987
739,1663861500,18928.7,18989,19022.8,18913.1,105.02713169,1994574.806861616
740,1663862400,18984.5,18830.7,19011.6,18802.1,151.82782721,2870790.150998028
741,1663863300,18830.8,18952.1,18981.5,18785,335.98600213,6353643.654854669
742,1663864200,18952.2,19018.6,19032,18924.1,138.98555274,2638494.892267648
743,1663865100,19018.6,19041.6,19092.9,18995.9,144.13060278,2745460.861133238
744,1663866000,19044,18957.2,19061.1,18954,118.0200035,2241914.455108165
745,1663866900,18957.2,19067.8,19070.3,18945.4,87.11677801,1655452.009459035
746,1663867800,19067.7,19044.5,19121,19042.5,131.68640084,2512008.658799734
747,1663868700,19047.4,19071.2,19100,19036,99.66463851,1900842.18970484
748,1663869600,19071.1,18984.3,19088.5,18977.6,127.95428861,2433796.888936858
749,1663870500,18984.3,19037.2,19045.3,18969.1,188.91681664,3587737.225324924
750,1663871400,19038.4,19112,19175,19028,272.89966003,5216708.139167086
751,1663872300,19112.1,19194.9,19220.1,19036.4,255.17669445,4885721.185444002
752,1663873200,19194.9,19282.9,19298,19194.9,193.09963653,3715296.572816272
753,1663874100,19286.8,19272.6,19292.7,19216.1,161.98781517,3116682.622420179
754,1663875000,19272.6,19398,19422.3,19246,396.37112944,7672998.448757766
755,1663875900,19395.5,19309,19491,19300.8,254.15063961,4935009.266191747
756,1663876800,19310.2,19296.5,19356.7,19293.7,82.17534672,1588181.512673339
757,1663877700,19296.5,19256.9,19337.1,19251.8,65.7348938,1268175.70606367
758,1663878600,19256.8,19284.3,19303.1,19253.1,51.66958294,996107.548226662
759,1663879500,19284.4,19246,19306.1,19243.6,87.504218,1686497.589899639
760,1663880400,19248.3,19230,19285.8,19224.6,54.77358609,1054941.879816148
761,1663881300,19230,19186.1,19244.2,19186,195.80816307,3762376.567823312
762,1663882200,19186.1,19167.1,19230.3,19167.1,75.89146609,1457534.576602149
763,1663883100,19167,19172,19217.8,19157.6,24.70271893,474081.397247477
764,1663884000,19179.5,19269.9,19278,19173.1,101.28458206,1946541.374662353
765,1663884900,19265.1,19377.8,19400.1,19237.3,208.01596386,4023475.100798094
766,1663885800,19379.6,19353.5,19437.1,19345.6,172.32128737,3342840.669345285
767,1663886700,19357,19397.9,19402.2,19323.9,120.71455285,2337045.784366671
768,1663887600,19396.8,19475.4,19520,19382.5,238.35592501,4641250.292549446
769,1663888500,19475.4,19403.4,19481.5,19358.8,104.5916281,2028806.843652899
770,1663889400,19403.4,19412,19448.7,19381,52.19676135,1013532.460736555
771,1663890300,19412.1,19401.2,19447.7,19384.1,37.36982896,725554.543970806
772,1663891200,19401.2,19369,19464.1,19354,71.17711593,1381363.836232786
773,1663892100,19369.1,19366.8,19430.4,19339.7,68.22268828,1322685.03628182
774,1663893000,19366.9,19345,19379.7,19323,42.24128647,817239.841592172
775,1663893900,19345.1,19311.1,19357.7,19305,85.20997483,1647103.083007383
776,1663894800,19307,19316.6,19336.7,19284.1,89.50562996,1728470.475539279
777,1663895700,19316.7,19311,19379.4,19300,105.00447203,2029804.231256109
778,1663896600,19310.1,19297.9,19328.3,19228.2,79.33201927,1529715.729939579
779,1663897500,19297.8,19355.5,19362,19289.7,74.98349646,1449355.076630216
780,1663898400,19355.6,19316.8,19361.1,19315.3,32.06349112,620100.909255646
781,1663899300,19316.8,19278.3,19316.9,19263,39.73324858,766210.796022942
782,1663900200,19278.3,19292.1,19293.5,19235,85.91430755,1655277.688681276
783,1663901100,19292.2,19294.9,19332.9,19290.6,85.6799169,1654593.453671222
784,1663902000,19293.1,19395.6,19399,19285.4,111.6490949,2160370.852886329
785,1663902900,19393.6,19409.2,19425.9,19374.7,84.49430299,1639350.982518511
786,1663903800,19409.2,19406.3,19447,19388.9,104.6070582,2030198.489020741
787,1663904700,19406.4,19394.4,19419.9,19373.2,42.21272429,818675.70921406
788,1663905600,19394.5,19385.5,19402.4,19318,104.22315374,2018275.146694739
789,1663906500,19385.4,19416.8,19430,19353.5,52.09334386,1009986.122577559
790,1663907400,19416.7,19428,19465.6,19410.5,98.74016116,1918887.786103795
791,1663908300,19428,19412.2,19494.4,19408.7,129.57261263,2520850.266037081
792,1663909200,19411,19381,19460.3,19376.3,74.87973931,1454263.379784093
793,1663910100,19377.7,19415.1,19443.1,19377.7,73.41344725,1425328.888930951
794,1663911000,19415.1,19373,19420.8,19373,43.05065398,834843.370209573
795,1663911900,19373.1,19360,19391,19360,41.82582214,810505.746606947
796,1663912800,19359.8,19388.5,19414.8,19348,61.6382836,1194879.045722128
797,1663913700,19388.5,19333.6,19405,19331.3,62.2073955,1204413.81362247
798,1663914600,19332.4,19326.3,19374.6,19325.9,57.34501863,1109622.313635618
799,1663915500,19326.3,19330.8,19347.8,19317.4,91.59241302,1770449.05473792
800,1663916400,19330.8,19273.3,19333.8,19239,146.17497797,2819453.400246556
801,1663917300,19273.3,19298.7,19309.3,19269.5,73.49350382,1417928.3728209
802,1663918200,19297.8,19232,19303,19231.1,100.25708075,1930334.320169552
803,1663919100,19232.1,19223.3,19263,19201.6,68.82044808,1323691.359288058
804,1663920000,19223.3,19217,19270.7,19208.2,65.58583436,1262046.873769121
805,1663920900,19215.7,19141.7,19215.7,19135.5,74.126354,1421427.477416776
806,1663921800,19141.7,19094.4,19193.9,19092.3,144.78996778,2772128.211538148
807,1663922700,19099.4,19069.3,19115.7,19032.4,118.00353517,2250155.614855671
808,1663923600,19069.2,19123.3,19123.5,19054.5,88.00931749,1680449.262081264
809,1663924500,19123.3,19131.3,19145.5,19103.7,45.49181438,869953.810889901
810,1663925400,19131.4,19000,19135.1,18981.7,140.562431,2675340.060123891
811,1663926300,19002.2,19086.3,19091,18963.7,91.30822313,1737520.192162916
812,1663927200,19086.3,19087.2,19118,19071.1,55.06416887,1051333.46208978
813,1663928100,19087.4,19085,19115.8,19035.5,109.06482163,2081364.997520849
814,1663929000,19085.1,19112.4,19114,19072.8,46.13062396,880982.939739171
815,1663929900,19112.5,18965.6,19113.3,18925.8,157.27293839,2989401.307894465
816,1663930800,18965.6,18919.4,18994.8,18909,129.04187013,2444224.033643163
817,1663931700,18919.4,18950.1,18952.6,18885.2,91.0907616,1722910.389980722
818,1663932600,18950.1,18872.3,18955,18871.6,138.7142515,2621420.591578263
819,1663933500,18872.2,18862.2,18912.7,18838.2,168.80410679,3184937.391877415
820,1663934400,18862.1,18949.9,18950.5,18831.1,131.52884305,2485951.961757163
821,1663935300,18950.6,18923.6,18952.2,18891.6,93.24662691,1764060.128263742
822,1663936200,18923.6,18878.8,18925.2,18857.2,82.43227013,1556281.104669187
823,1663937100,18878.7,18895.9,18932.7,18855.3,89.76285103,1695127.212903426
824,1663938000,18895.9,19027.9,19032.9,18882.1,134.08347254,2543591.805413222
825,1663938900,19028,19021.7,19075.3,18997.7,143.33709385,2728114.330499676
826,1663939800,19023.7,18944.6,19038.9,18911,181.53166057,3445241.530604948
827,1663940700,18944.5,18638.8,18967.7,18627.1,485.5833526,9123226.593724631
828,1663941600,18638.8,18622.4,18677,18569.5,377.00446018,7022908.840344446
829,1663942500,18622.4,18687.8,18687.8,18538,150.2656302,2795692.588668742
830,1663943400,18687.8,18710.9,18710.9,18632.7,68.29329601,1274798.179017135
831,1663944300,18711,18677.5,18745,18666.5,151.01839545,2825380.992488545
832,1663945200,18679.5,18647.7,18690.9,18587.6,85.78512536,1599242.293342898
833,1663946100,18647.8,18772,18803.2,18647.7,207.5320672,3892654.805693238
834,1663947000,18772.1,18734.9,18855.9,18733.2,137.39661643,2582637.953193723
835,1663947900,18733.3,18717.2,18758.6,18671.6,136.61942305,2556342.283800704
836,1663948800,18715.2,18657.5,18738.8,18614,123.33760916,2303739.259464866
837,1663949700,18659.4,18582.4,18713,18581.3,100.60049495,1876969.206891812
838,1663950600,18582.3,18676.9,18707.9,18575.1,87.70562522,1634563.652590443
839,1663951500,18679.4,18763.1,18785,18670,162.82356202,3052683.565151072
840,1663952400,18767.8,18803,18833.5,18731,107.1567402,2013583.727944367
841,1663953300,18806.4,18731.1,18850.8,18728.4,97.62730576,1836366.118614235
842,1663954200,18730,18676,18759.5,18639.1,92.55622819,1729352.239721913
843,1663955100,18671.4,18774,18781.8,18657.6,90.56371771,1696346.07184504
844,1663956000,18773.9,18678.3,18830,18659,189.51170144,3552031.951896282
845,1663956900,18676.3,18727.9,18773.9,18645.3,101.99021043,1908861.63393515
846,1663957800,18729.4,18730,18734.6,18672.1,92.83742657,1735916.613394185
847,1663958700,18730,18635.1,18750,18622.1,108.47816656,2026995.701109275
848,1663959600,18635.1,18697,18765.9,18622.5,172.647135,3229536.862684023
849,1663960500,18698.8,18707,18744.9,18649,130.19173995,2433817.933519274
850,1663961400,18702.5,18802.8,18807,18693,133.01483666,2493667.902643502
851,1663962300,18802.8,18811.9,18827.5,18742.4,179.04161466,3365484.31598752
852,1663963200,18811,18881,18922.4,18809.1,228.83483025,4318999.170598691
853,1663964100,18881,18921.4,18955,18879,139.77403492,2646066.388166413
854,1663965000,18921.5,18906.4,18934.3,18892.1,80.32968034,1519305.109279732
855,1663965900,18906.4,18849.3,18924.5,18839.5,129.35688854,2441742.28475741
856,1663966800,18849.4,18816.3,18872.2,18804,112.95631732,2127703.931951662
857,1663967700,18816.3,18859.1,18907.7,18813.8,109.44932829,2064603.757023603
858,1663968600,18859.1,18966,19002.2,18852.1,116.26637628,2202547.291147357
859,1663969500,18962.9,19010.7,19040.7,18930.1,212.1405309,4029281.471461583
860,1663970400,19010.8,19009.8,19047.6,18997.7,192.62099043,3663989.541830427
861,1663971300,19009.8,19175,19185.9,19004.1,326.77945789,6235399.3356449
862,1663972200,19175,19206.7,19259.8,19134.5,353.46075842,6787499.561721591
863,1663973100,19206.7,19334.8,19341.8,19206.7,379.76603659,7323063.932662263
864,1663974000,19333.6,19369,19392.9,19295,293.09944285,5672659.110149343
865,1663974900,19367.6,19349.1,19400.4,19320.1,198.14178057,3835265.739298113
866,1663975800,19349.2,19344,19393.1,19326.9,106.49099025,2061586.801236202
867,1663976700,19344.1,19289.2,19359.6,19239,186.94785651,3606876.706492815
868,1663977600,19289.2,19237,19312.8,19237,152.66702729,2943935.635031668
869,1663978500,19237.1,19184.1,19271.7,19142,207.48940227,3980313.57193269
870,1663979400,19185.9,19093.7,19225.4,19072.5,185.65474895,3556129.328113109
871,1663980300,19093.7,19144.9,19157.9,19089.1,97.9386507,1873596.708616086
872,1663981200,19144.9,19220.8,19220.8,19144.9,135.98947184,2608939.767435767
873,1663982100,19220.9,19124.9,19222,19122.5,90.53660874,1735087.459481153
874,1663983000,19125,19129.3,19139.1,19076.3,132.36513209,2529426.433191067
875,1663983900,19129.3,19117.8,19164,19102.5,92.01090208,1761002.42932538
876,1663984800,19119,19103.3,19151.6,19080.1,117.84322891,2253014.538676377
877,1663985700,19104.8,19170,19176.7,19080.7,82.70292112,1581772.816814907
878,1663986600,19171.2,19160,19193.9,19146.8,126.10493579,2417889.417120553
879,1663987500,19161.8,19127.7,19168.3,19088,120.92957912,2311990.200515797
880,1663988400,19127.8,19100.9,19147.2,19090.8,71.75687291,1371984.294191624
881,1663989300,19101,19109.2,19124.1,19090.5,56.76859096,1084682.309466272
882,1663990200,19109.2,19044.5,19137.6,19016,155.73590795,2971368.514122943
883,1663991100,19044.4,19123.6,19134.3,19030.2,189.34033849,3612701.276288415
884,1663992000,19123.7,19104.9,19152.7,19083.9,106.83200929,2042812.992978026
885,1663992900,19104.9,19146.2,19148,19090.4,79.98172659,1529243.997110203
886,1663993800,19146.3,19151.5,19151.5,19102.2,99.37278966,1901432.351552165
887,1663994700,19151.5,19163.3,19189.8,19116.9,121.57558901,2328322.013074521
888,1663995600,19163.4,19151.9,19170.1,19137.4,111.45121241,2135009.753667813
889,1663996500,19151.9,19101.1,19162.5,19099,68.31278823,1306311.058435396
890,1663997400,19100.2,19107,19137,19095.1,98.86970186,1889464.274635606
